task,accuracy,f1_macro,f1_weighted
wisdm,0.7242857142857143,0.7203221193101966,0.721494904292823
uci_har,0.8423707440100883,0.8418100652923094,0.8409878170162127
wesad,0.6278026905829597,0.4780869923727067,0.5745922665845792
PPG_CVA,0.9015151515151515,0.47410358565737054,0.8620065193770373
PPG_DM,0.8222222222222222,0.45121951219512196,0.7420054200542006
PPG_HTN,0.3787878787878788,0.26849875930521094,0.3525050755695917
studentlife,0.48623853211009177,0.42462167226977804,0.4650528876520661
ptbxl,0.6515151515151515,0.3911815251412222,0.5844551947799134
sleepEDF,0.7895280744057871,0.6640654313151838,0.7659012757117938
AsphaltObstacles,0.8132992327365729,0.8098143442349043,0.812435590324788
Beijing_AQI,0.6860068259385665,0.36860449114399507,0.6221927863490954
